"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus","date"
"1","cWyWnA3GojI","I am a ant keeper and I have a lot of colonies and these will solve the problem but the traps are not the most deadly traps the boiling water won’t fix the problem fully due to the next could be expanded over a area or goes really deep.","I am a ant keeper and I have a lot of colonies and these will solve the problem but the traps are not the most deadly traps the boiling water won’t fix the problem fully due to the next could be expanded over a area or goes really deep.","Aaron Ross","https://yt3.ggpht.com/a/AATXAJz7dnkkz11sOk31OVB605rItX3r9wYh3hoNJg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQnauJTZlmUZKhLbtQrn_DA","UCQnauJTZlmUZKhLbtQrn_DA","TRUE","none","0","2020-01-02T01:57:37Z","2020-01-02T01:57:37Z","UgyByDqyakYjYShKxAZ4AaABAg",NA,NA,2020-01-02
"2","cWyWnA3GojI","Many ants were injured in this video","Many ants were injured in this video","MrLil Crab","https://yt3.ggpht.com/a/AATXAJxwkjYAhX9GBwzj4g045OprVwkVWGb3ByJiIg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCb3x2QK_utgBZAEXkFZJ4jw","UCb3x2QK_utgBZAEXkFZJ4jw","TRUE","none","0","2020-01-04T09:19:33Z","2020-01-04T09:19:33Z","Ugx2XJfCHtEHt_DS1mB4AaABAg",NA,NA,2020-01-04
"3","cWyWnA3GojI","Flamethrower works as well. Try it","Flamethrower works as well. Try it","Ali Ali","https://yt3.ggpht.com/a/AATXAJxO-tgxe2Iw_Np97jRWAEIEu3gQniR5VFklRQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfWFCmwAGNusBBbrnvnvZTQ","UCfWFCmwAGNusBBbrnvnvZTQ","TRUE","none","0","2020-01-05T15:05:05Z","2020-01-05T15:05:05Z","UgwZtuV5WGBoKz4YcGl4AaABAg",NA,NA,2020-01-05
"4","cWyWnA3GojI","Just use raid","Just use raid","Frosty 2080","https://yt3.ggpht.com/a/AATXAJz62v10OFcg3Diy_pco1GEF9SqSP3uNMBC0dQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCnJ8FnnVI3SHyF6t_E3v7w","UCCnJ8FnnVI3SHyF6t_E3v7w","TRUE","none","0","2020-01-05T23:51:52Z","2020-01-05T23:51:52Z","UgxIMtskkUXogNj_XSB4AaABAg.8w8o0P-lzQe93Ql0L98XEv","UgxIMtskkUXogNj_XSB4AaABAg",NA,2020-01-05
"5","cWyWnA3GojI","2020 anyone","2020 anyone","Kaitlyn Scott","https://yt3.ggpht.com/a/AATXAJwknLQf4LB5hC-AYYKoyy3V-5wUYJ2mhqxYbQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5t-hJfZjZGL0qGj7hw20rQ","UC5t-hJfZjZGL0qGj7hw20rQ","TRUE","none","0","2020-01-08T03:58:10Z","2020-01-08T03:58:10Z","UgwrDaD7Rgsj5rfQ8hN4AaABAg",NA,NA,2020-01-08
"6","cWyWnA3GojI","Water is the best. Or freezer","Water is the best. Or freezer","sading rome","https://yt3.ggpht.com/a/AATXAJx3Ne-l2XK5ySkxT26lltvloEIu7la3TRlzOg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJLi41AL0RjukhN-Rml77ZA","UCJLi41AL0RjukhN-Rml77ZA","TRUE","none","0","2020-01-12T10:56:48Z","2020-01-12T10:56:48Z","Ugw8PJ-RFMyHuvvYDEN4AaABAg",NA,NA,2020-01-12
"7","cWyWnA3GojI","I got itchy after reading this comment","I got itchy after reading this comment","Rachel Mbokane","https://yt3.ggpht.com/a/AATXAJzdwLFNC4_HkwlA_5BUA-LLGOx1JhnJr2p2uw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd215ZMcCGHTQpWQK2VO4RA","UCd215ZMcCGHTQpWQK2VO4RA","TRUE","none","0","2020-01-12T18:07:57Z","2020-01-12T18:07:57Z","Ugw89gZP5whY75vuSGZ4AaABAg.8dWPfcnpUpX93hADYs7vb_","Ugw89gZP5whY75vuSGZ4AaABAg",NA,2020-01-12
"8","cWyWnA3GojI","Well the first one is my basic solution <U+0001F605> But what if I told you that there can swim or they really wanted to die..","Well the first one is my basic solution <U+0001F605> But what if I told you that there can swim or they really wanted to die..","LeoCiosu Music","https://yt3.ggpht.com/a/AATXAJxoQ_70azEs8EgTHplQNu4ZMc-8QI9tqnp-dA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_LiYo-7uwXNJ3y8tkSKSXg","UC_LiYo-7uwXNJ3y8tkSKSXg","TRUE","none","1","2020-01-17T06:24:47Z","2020-01-17T06:24:47Z","UgwzCIeVeWQ8vLOAbnZ4AaABAg",NA,NA,2020-01-17
"9","cWyWnA3GojI","I keep repeating the intro cause I want to know what the hell is used to burn that <U+0001F602> Lol, turn out like damn.. Why .?","I keep repeating the intro cause I want to know what the hell is used to burn that <U+0001F602> Lol, turn out like damn.. Why .?","LeoCiosu Music","https://yt3.ggpht.com/a/AATXAJxoQ_70azEs8EgTHplQNu4ZMc-8QI9tqnp-dA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_LiYo-7uwXNJ3y8tkSKSXg","UC_LiYo-7uwXNJ3y8tkSKSXg","TRUE","none","2","2020-01-17T06:22:18Z","2020-01-17T06:22:18Z","UgxsLiFUl38NESqdBhZ4AaABAg",NA,NA,2020-01-17
"10","cWyWnA3GojI","I&#39;ll take things Quagmire would never say for $400","I'll take things Quagmire would never say for $400","Esoteric Truth <U+05EA>","https://yt3.ggpht.com/a/AATXAJyHW_nJAW1rFzK7Dbi-ujZwypFCKGahrzwA1g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC12vOUXryoN2-eUlOsZzyTw","UC12vOUXryoN2-eUlOsZzyTw","TRUE","none","1","2020-01-18T11:57:11Z","2020-01-18T11:57:11Z","UgzLzTaUv1qA1T6yYjF4AaABAg.8fr_I92a3yH93vxZFsPcpZ","UgzLzTaUv1qA1T6yYjF4AaABAg",NA,2020-01-18
"11","cWyWnA3GojI","<b>AntsCanada does not approve</b>","*AntsCanada does not approve*","<U+30C4> Scar <U+30C4>","https://yt3.ggpht.com/a/AATXAJz_7_rShpDcsQWjapV3JeKtBGImHgkfPjzEQQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCciHgWKCXKBrmNRbf4R1YLA","UCciHgWKCXKBrmNRbf4R1YLA","TRUE","none","2","2020-01-19T21:56:00Z","2020-01-19T21:56:00Z","Ugw95Le7VNk5L5MO88R4AaABAg",NA,NA,2020-01-19
"12","cWyWnA3GojI","Antacanada be like <U+0001F621>","Antacanada be like <U+0001F621>","Lucas Wong","https://yt3.ggpht.com/a/AATXAJyoBdXy8zmhgvvH0tTTxn6wDQvbNeWoHTd98A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCFFc9PViC_j70jp7TDjEOqA","UCFFc9PViC_j70jp7TDjEOqA","TRUE","none","0","2020-01-19T06:41:04Z","2020-01-19T06:41:04Z","UgwRpQ7d1u77UsAUNTN4AaABAg",NA,NA,2020-01-19
"13","cWyWnA3GojI","How do you get rid of cats taking a dump in your yard? My kids can’t play outside Because the cats and I don’t know how many of them I lost count takes a dump in my yard Daily! My neighbor buys bags of cat food to feed them in they go through my yard I need a solution please help.","How do you get rid of cats taking a dump in your yard? My kids can’t play outside Because the cats and I don’t know how many of them I lost count takes a dump in my yard Daily! My neighbor buys bags of cat food to feed them in they go through my yard I need a solution please help.","Kara Love","https://yt3.ggpht.com/a/AATXAJyvofGNHr_vtdYNcT-TlLq9oDm3cXgt5RHZvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChfAR35Xnnv_h5ac63tEwHg","UChfAR35Xnnv_h5ac63tEwHg","TRUE","none","0","2020-01-30T09:36:00Z","2020-01-30T09:36:00Z","UgxZMsXTrbbiEsFdSnF4AaABAg",NA,NA,2020-01-30
"14","cWyWnA3GojI","ok i will flood my home  <a href=""https://www.youtube.com/watch?v=cWyWnA3GojI&amp;t=2m40s"">2:40</a>","ok i will flood my home  2:40","Lindsay's Cute Show","https://yt3.ggpht.com/a/AATXAJxlJXIm4LCwdD0BPP2hs-UJ6IVgum3CEA2Mlg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC76MCx4TKTNc7C5jzR0Hv5g","UC76MCx4TKTNc7C5jzR0Hv5g","TRUE","none","0","2020-02-01T18:53:27Z","2020-02-01T18:53:27Z","UgzaqvhEfivwI4BrATB4AaABAg",NA,NA,2020-02-01
"15","cWyWnA3GojI","Quagmire LMAAAAAAOOOOOOOOOO","Quagmire LMAAAAAAOOOOOOOOOO","Natalie Chua","https://yt3.ggpht.com/a/AATXAJwnOvGTEJItCC_42MhvPUfbEyzYAD5IQNEeFQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQYdCeP5zPuXo1RQKnpqUZA","UCQYdCeP5zPuXo1RQKnpqUZA","TRUE","none","0","2020-02-01T05:20:32Z","2020-02-01T05:20:32Z","UgzLzTaUv1qA1T6yYjF4AaABAg.8fr_I92a3yH94UIIPHBYVb","UgzLzTaUv1qA1T6yYjF4AaABAg",NA,2020-02-01
"16","cWyWnA3GojI","I thought you weren’t married","I thought you weren’t married","Random Vids","https://yt3.ggpht.com/a/AATXAJwh88R3hbQlCLSfkIeejjLGJ5Eg8IVOmiMPDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCVUmfhv1tdHilyGvDhZiCSA","UCVUmfhv1tdHilyGvDhZiCSA","TRUE","none","0","2020-02-04T02:15:49Z","2020-02-04T02:15:49Z","UgzLzTaUv1qA1T6yYjF4AaABAg.8fr_I92a3yH94agY36HDvq","UgzLzTaUv1qA1T6yYjF4AaABAg",NA,2020-02-04
"17","cWyWnA3GojI","GG LOL SOO COOL","GG LOL SOO COOL","kittykatty3577","https://yt3.ggpht.com/a/AATXAJz7QQzOi9WrdGMhGb34ZWE4nf-wr-M7vYMKig=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCO7XOepwhC6JlNHE4TPYhqg","UCO7XOepwhC6JlNHE4TPYhqg","TRUE","none","0","2020-02-08T14:47:53Z","2020-02-08T14:47:53Z","Ugz8Y2rua1Ujm4qAdgR4AaABAg",NA,NA,2020-02-08
"18","cWyWnA3GojI","Yes","Yes","badoobie","https://yt3.ggpht.com/a/AATXAJwwUMDaYdN9L52eKwgCFOKtInTus37g7_h0jQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCsGXur5tMXhuxf_Pn6775dA","UCsGXur5tMXhuxf_Pn6775dA","TRUE","none","0","2020-02-08T19:20:15Z","2020-02-08T19:20:15Z","UgzuAC7tkbS8vv8ExXF4AaABAg.8yQ4nFl7p3894moxmkPO20","UgzuAC7tkbS8vv8ExXF4AaABAg",NA,2020-02-08
"19","cWyWnA3GojI",":P",":P","Christian Rossman","https://yt3.ggpht.com/a/AATXAJxCfvYqkldSs6d4byoTkS5WkRXcae5ZJ_2oRQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD0XB2lBm7niPdnO4aXRq3g","UCD0XB2lBm7niPdnO4aXRq3g","TRUE","none","0","2020-02-11T22:54:43Z","2020-02-11T22:54:43Z","Ugy_x_OnPIiDCUGNqBN4AaABAg",NA,NA,2020-02-11
"20","cWyWnA3GojI","The only way to rid yourself of ants are to give up and keep them busy by leaving them a nice puddle of soda.  The prefer Sunkist over Coke and they hate any diet soda.  Make sure they dont run out and you will be fine.","The only way to rid yourself of ants are to give up and keep them busy by leaving them a nice puddle of soda.  The prefer Sunkist over Coke and they hate any diet soda.  Make sure they dont run out and you will be fine.","Alex Burns","https://yt3.ggpht.com/a/AATXAJytcsthlJStZBzmp0h0eE1xNf26j81h7e-N4A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-30L9hU2TBaLnqcDJmxfIg","UC-30L9hU2TBaLnqcDJmxfIg","TRUE","none","0","2020-02-11T21:11:58Z","2020-02-11T21:11:58Z","UgzKDEwRcRKd57GWLwx4AaABAg",NA,NA,2020-02-11
"21","cWyWnA3GojI","I only have ants next to my window so if they get on my table I just give then a battle with a mantis and a spider","I only have ants next to my window so if they get on my table I just give then a battle with a mantis and a spider","Miguel Martinez","https://yt3.ggpht.com/a/AATXAJwhU_j2g3wgD2krUZD8vLdj_mFR7x6ITBzzgw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBvADQJwjNkJ3YBFGH0jdZg","UCBvADQJwjNkJ3YBFGH0jdZg","TRUE","none","0","2020-02-11T01:47:22Z","2020-02-11T01:47:22Z","Ugw-PWDyG3GB_RG5vhp4AaABAg",NA,NA,2020-02-11
"22","cWyWnA3GojI","I  love ants XD","I  love ants XD","De Getikte Broeders","https://yt3.ggpht.com/a/AATXAJy7BJWnQzTKrMQRP6eTH6sFxPTr5Lkz2K3SmQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6kL76n4KBDxXsIXOyaNobA","UC6kL76n4KBDxXsIXOyaNobA","TRUE","none","0","2020-02-16T11:24:13Z","2020-02-16T11:24:13Z","UgwneOa3DYMJl-2BVRt4AaABAg",NA,NA,2020-02-16
"23","cWyWnA3GojI","There an ant nest in my ceiling should i just burn it","There an ant nest in my ceiling should i just burn it","Jim Tamim","https://yt3.ggpht.com/a/AATXAJwd6iCpuvoHFUImsTXq_Nm881ECSESLo3kqpA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCoCI2d4CIGqkZxvUrLZGj8w","UCoCI2d4CIGqkZxvUrLZGj8w","TRUE","none","0","2020-02-21T09:47:14Z","2020-02-21T09:47:14Z","Ugxz_35oY6SwNmXTHq54AaABAg",NA,NA,2020-02-21
"24","cWyWnA3GojI","You fucker!ants are good!","You fucker!ants are good!","SuPeRmAn 12","https://yt3.ggpht.com/a/AATXAJxUP-MBhttNJuAGCu_lFdboC6GJQlx_tn6qAw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCjOeDxF3Iuej5Fy-0dUnatQ","UCjOeDxF3Iuej5Fy-0dUnatQ","TRUE","none","0","2020-02-25T20:03:29Z","2020-02-25T20:03:29Z","UgyZltF34Uv5s9cvk4d4AaABAg",NA,NA,2020-02-25
"25","cWyWnA3GojI","need to prevent squirrels from climbing up my delicious pear tree!","need to prevent squirrels from climbing up my delicious pear tree!","Timothy Law","https://yt3.ggpht.com/a/AATXAJwOjeOtOkMz1F5eVzmC6zyFFjNEb8LCQElGXQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRGz7yujBkWoAMZHyOgXsmw","UCRGz7yujBkWoAMZHyOgXsmw","TRUE","none","0","2020-02-25T02:00:00Z","2020-02-25T02:00:00Z","UgzMwGqOU8zLg_es28x4AaABAg",NA,NA,2020-02-25
"26","cWyWnA3GojI","i wish all ants could just do us all favor and kill themselves","i wish all ants could just do us all favor and kill themselves","wye","https://yt3.ggpht.com/a/AATXAJxCbGtocTMSUASnqENmOm-uZQwXqn7LBY6UCA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtTpY5JY0dgEKp0Rca0Khwg","UCtTpY5JY0dgEKp0Rca0Khwg","TRUE","none","1","2020-02-29T03:47:26Z","2020-02-29T03:47:26Z","UgzlNsB4x-wuXdephzd4AaABAg",NA,NA,2020-02-29
